measurement_date,upstream_water_level,downstream_water_level,inflow_rate,outflow_rate
2016 May 19,152.53,66.79,13500,18400
2016 May 20,152.49,66.77,14500,18600
2016 May 21,151.83,65.47,13500,17700
2016 May 22,151.20,65.22,13500,19900
2016 May 23,151.42,67.13,12800,18800
2016 May 24,150.93,65.03,13000,18400
2016 May 25,150.27,66.69,14000,20300
2016 May 26,149.55,66.85,15200,19900
2016 May 27,149.17,66.87,14800,21600
2016 May 28,149.12,65.85,14300,19100
2016 May 29,148.86,65.73,14000,19100
2016 May 30,148.71,65.84,12800,18600
2016 May 31,147.75,65.32,12500,19500
2016 Jun 01,147.24,66.96,16000,21200
2016 Jun 02,147.17,67.64,25000,24200
2016 Jun 03,147.80,66.94,21000,22500
2016 Jun 04,146.35,68.11,17000,27000
2016 Jun 05,146.08,66.36,16000,18200
2016 Jun 06,145.38,67.10,15000,22900
2016 Jun 07,145.07,65.65,15500,19800
2016 Jun 08,146.35,65.06,17500,17500
2016 Jun 09,145.58,65.94,20300,19600
2016 Jun 10,145.98,66.47,18000,20000
2016 Jun 11,145.20,66.47,16000,20900
2016 Jun 12,145.33,64.93,15500,16800
2016 Jun 13,145.61,64.93,15500,16700
2016 Jun 14,145.82,65.12,15000,17500
2016 Jun 15,145.47,67.15,15500,19100
2016 Jun 16,145.31,65.91,15800,14700
2016 Jun 17,145.08,65.33,19800,19400
2016 Jun 18,145.67,65.64,18200,18500
2016 Jun 19,145.97,65.07,17500,18200
2016 Jun 20,145.36,66.93,24500,23700
2016 Jun 21,145.33,67.42,25000,26400
2016 Jun 22,145.53,67.66,20000,23700
2016 Jun 23,145.29,67.75,17500,23900
2016 Jun 24,146.38,66.06,33000,21000
2016 Jun 25,146.41,68.05,33000,26900
2016 Jun 26,146.47,68.00,33000,31100
2016 Jun 27,146.52,68.36,25000,30800
2016 Jun 28,145.89,68.69,32000,31000
2016 Jun 29,146.09,68.61,30000,31500
2016 Jun 30,146.43,67.50,38000,30000
2016 Jul 01,148.73,68.59,48500,31700
2016 Jul 02,150.51,67.27,38000,30100
2016 Jul 03,151.53,67.04,30000,29000
2016 Jul 04,151.31,67.59,23000,29500
2016 Jul 05,150.24,67.50,20800,28700
2016 Jul 06,149.38,68.08,19500,25600
2016 Jul 07,149.17,67.34,23000,20100
2016 Jul 08,149.82,67.10,26000,21200
2016 Jul 09,150.78,67.11,22500,21200
2016 Jul 10,150.22,67.15,20200,20900
2016 Jul 11,150.35,67.23,21000,21200
2016 Jul 12,150.50,67.29,21000,21400
2016 Jul 13,150.54,67.41,21300,22200
2016 Jul 14,151.93,67.23,23000,20400
2016 Jul 15,153.13,67.64,30000,21100
2016 Jul 16,154.18,67.56,32000,24000
2016 Jul 17,154.67,68.16,27800,26300
2016 Jul 18,154.92,68.21,25000,26100
2016 Jul 19,155.44,67.91,30000,24000
2016 Jul 20,156.85,67.88,39000,23600
2016 Jul 21,158.39,68.05,30000,29600
2016 Jul 22,158.39,68.28,24500,26700
2016 Jul 23,157.87,68.45,22500,27900
2016 Jul 24,157.07,68.44,22000,28300
2016 Jul 25,156.33,68.47,24800,28600
2016 Jul 26,155.78,68.53,24500,29000
2016 Jul 27,155.17,68.64,25500,29100
2016 Jul 28,154.70,68.59,28800,29600
2016 Jul 29,154.47,68.61,27800,29700
2016 Jul 30,153.96,68.66,25400,30000
2016 Jul 31,153.26,68.80,24500,30400
2016 Aug 01,152.30,68.66,24000,30700
2016 Aug 02,151.28,68.68,23800,30900
2016 Aug 03,150.47,68.49,26000,30500
2016 Aug 04,149.76,68.57,24300,30100
2016 Aug 05,149.06,68.73,27000,30100
2016 Aug 06,148.68,68.51,27200,29400
2016 Aug 07,148.41,68.34,27000,28700
2016 Aug 08,148.08,68.14,23200,28000
2016 Aug 09,147.50,68.35,21000,27600
2016 Aug 10,146.36,68.66,22500,30000
2016 Aug 11,146.79,67.55,21500,23300
2016 Aug 12,146.66,68.03,21500,25000
2016 Aug 13,146.52,67.80,19000,24800
2016 Aug 14,146.06,66.95,18000,24700
2016 Aug 15,145.29,67.37,17300,25300
2016 Aug 16,145.53,66.47,17200,19400
2016 Aug 17,145.55,67.13,17000,20300
2016 Aug 18,145.57,67.24,17000,20300
2016 Aug 19,145.56,67.20,16500,20000
2016 Aug 20,145.50,65.55,14800,17300
2016 Aug 21,145.51,65.88,14500,17400
2016 Aug 22,145.36,65.89,14500,18300
2016 Aug 23,145.39,66.02,14000,17000
2016 Aug 24,145.52,66.10,13800,16100
2016 Aug 25,145.61,65.86,13800,16000
2016 Aug 26,145.87,65.82,14200,15100
2016 Aug 27,146.25,65.45,14500,14900
2016 Aug 28,146.52,65.47,13800,14900
2016 Aug 29,146.61,65.09,12800,14700
2016 Aug 30,146.98,65.27,12500,12900
2016 Aug 31,147.19,64.75,12500,12900
2016 Sep 01,147.04,65.62,11000,14000
2016 Sep 02,146.87,65.77,11800,14000
2016 Sep 03,146.83,65.51,11200,13500
2016 Sep 04,146.70,65.87,10600,13600
2016 Sep 05,146.45,65.82,10000,13700
2016 Sep 06,145.03,66.01,10000,13900
2016 Sep 07,145.65,65.82,11000,14000
2016 Sep 08,145.56,65.72,13500,13900
2016 Sep 09,145.72,66.00,13800,13900
2016 Sep 10,146.47,65.44,16800,11500
2016 Sep 11,147.65,65.33,16500,11300
2016 Sep 12,148.57,65.54,14000,11500
2016 Sep 13,149.20,65.20,13000,11900
2016 Sep 14,149.67,64.93,12600,11300
2016 Sep 15,150.06,65.24,12600,10300
2016 Sep 16,150.29,65.09,11800,10200
2016 Sep 17,150.41,65.30,11000,11000
2016 Sep 18,150.51,65.62,11000,11700
2016 Sep 19,150.58,65.84,11400,12200
2016 Sep 20,150.81,65.86,12800,11800
2016 Sep 21,151.54,65.48,18500,11600
2016 Sep 22,152.95,65.78,23600,12100
2016 Sep 23,154.28,65.61,22200,11900
2016 Sep 24,156.28,65.71,20600,12100
2016 Sep 25,157.58,66.05,21800,12200
2016 Sep 26,158.97,65.93,21000,12300
2016 Sep 27,160.16,65.68,18000,12200
2016 Sep 28,160.92,66.74,14300,12500
2016 Sep 29,161.69,66.12,14500,12000
2016 Sep 30,161.59,65.92,13800,12000
2016 Oct 01,162.37,65.99,16300,12100
2016 Oct 02,163.07,65.79,15000,12100
2016 Oct 03,163.58,65.77,14000,12000
2016 Oct 04,164.00,65.84,13000,12000
2016 Oct 05,164.34,66.02,12800,11900
2016 Oct 06,164.62,66.06,12500,11900
2016 Oct 07,165.01,66.02,12300,11900
2016 Oct 08,165.25,66.12,11500,11900
2016 Oct 09,165.57,65.64,12000,10200
2016 Oct 10,165.57,65.64,12000,10200
2016 Oct 11,166.44,65.83,12900,8900
2016 Oct 12,166.93,65.95,12500,8880
2016 Oct 13,167.44,65.38,12800,8780
2016 Oct 14,167.85,65.76,12800,9070
2016 Oct 15,168.36,65.58,13500,9010
2016 Oct 16,168.94,65.62,14200,8980
2016 Oct 17,169.48,65.66,13500,9120
2016 Oct 18,169.93,65.40,13500,10400
2016 Oct 19,169.93,65.40,13500,10400
2016 Oct 20,170.64,65.47,13400,10500
2016 Oct 21,171.15,65.83,13300,11200
2016 Oct 22,171.40,65.63,12500,11800
2016 Oct 23,171.58,65.64,12300,11700
2016 Oct 24,171.78,65.25,12000,11800
2016 Oct 25,171.40,66.63,12500,11800
2016 Oct 26,172.29,65.41,16300,13100
2016 Oct 27,172.73,65.38,16500,13300
2016 Oct 28,172.90,65.18,15000,13100
2016 Oct 29,173.54,65.82,14300,10200
2016 Oct 30,174.06,65.20,14300,8730
2016 Oct 31,174.71,65.28,14800,8690
2016 Nov 01,174.95,64.48,14000,13900
2016 Nov 02,174.87,64.33,12500,14000
2016 Nov 03,174.52,65.58,10000,14200
2016 Nov 04,174.37,65.48,9500,12600
2016 Nov 05,174.37,65.73,10500,11400
2016 Nov 06,174.33,65.79,9500,11400
2016 Nov 07,174.28,65.17,11200,12000
2016 Nov 08,174.25,65.05,12500,13700
2016 Nov 09,174.61,64.93,14800,13700
2016 Nov 10,174.87,65.58,15500,14000
2016 Nov 11,174.78,65.51,13500,15700
2016 Nov 12,174.69,65.89,12000,14500
2016 Nov 13,174.55,64.59,11200,14100
2016 Nov 14,174.37,64.86,10500,13800
2016 Nov 15,174.13,64.86,9900,13300
2016 Nov 16,173.88,64.84,10000,13300
2016 Nov 17,173.82,65.22,9000,11500
2016 Nov 18,173.87,64.41,8800,10200
2016 Nov 19,173.87,64.54,8700,9560
2016 Nov 20,173.89,64.79,8600,9570
2016 Nov 21,173.83,65.16,8200,9620
2016 Nov 22,173.76,64.70,7700,9870
2016 Nov 23,173.86,65.02,7300,8370
2016 Nov 24,174.05,64.98,7700,7230
2016 Nov 25,174.21,64.85,8000,7210
2016 Nov 26,174.56,64.82,8300,7190
2016 Nov 27,174.64,64.91,8500,7300
2016 Nov 28,174.68,64.86,7800,7360
2016 Nov 29,174.76,65.12,7800,7370
2016 Nov 30,174.72,65.44,7400,8610
2016 Dec 01,174.62,65.33,7300,9830
2016 Dec 02,174.51,65.33,7300,9840
2016 Dec 03,174.50,65.06,7500,8960
2016 Dec 04,174.47,65.27,7300,8960
2016 Dec 05,174.42,65.17,7300,8960
2016 Dec 06,174.28,65.32,6900,8970
2016 Dec 07,174.23,64.62,6700,8930
2016 Dec 08,174.16,64.57,6500,8500
2016 Dec 09,173.99,64.93,6200,8620
2016 Dec 10,173.63,64.97,6200,8620
2016 Dec 11,173.72,64.65,6200,8620
2016 Dec 12,173.65,64.75,6100,8630
2016 Dec 13,173.50,64.53,6000,8180
2016 Dec 14,173.38,64.51,5900,8210
2016 Dec 15,173.32,64.86,5900,7420
2016 Dec 16,173.24,64.80,5800,7420
2016 Dec 17,173.14,64.72,5800,7420
2016 Dec 18,173.06,64.43,5900,7400
2016 Dec 19,172.95,64.36,5900,7410
2016 Dec 20,172.79,64.79,5800,7440
2016 Dec 21,172.79,64.99,5800,7460
2016 Dec 22,172.66,64.79,5800,7460
2016 Dec 23,172.59,64.86,5900,6400
2016 Dec 24,172.53,64.89,5800,6410
2016 Dec 25,172.51,64.80,5600,6410
2016 Dec 26,172.51,64.94,5600,6410
2016 Dec 27,172.47,64.71,5700,6220
2016 Dec 28,172.45,64.79,5800,6220
2016 Dec 29,172.35,64.78,5800,7030
2016 Dec 30,172.26,65.14,5800,7070
2016 Dec 31,173.20,65.18,5800,6270
2017 Jan 01,172.18,64.77,5700,6240
2017 Jan 02,172.10,64.89,5300,6260
2017 Jan 03,172.00,65.02,5000,6270
2017 Jan 04,171.89,65.02,4950,6290
2017 Jan 05,171.77,64.67,5200,6260
2017 Jan 06,171.74,64.76,5500,6270
2017 Jan 07,171.77,64.92,5500,6270
2017 Jan 08,171.73,65.00,5900,6290
2017 Jan 09,171.64,64.96,5200,6290
2017 Jan 10,171.54,64.79,5200,6280
2017 Jan 11,171.52,64.77,5400,6280
2017 Jan 12,171.53,64.75,5600,6280
2017 Jan 13,171.49,64.85,5500,6290
2017 Jan 14,171.39,64.98,5300,6830
2017 Jan 15,171.29,64.85,4900,6840
2017 Jan 16,171.14,65.00,5200,6840
2017 Jan 17,171.12,64.92,5200,5510
2017 Jan 18,170.99,64.82,5300,7030
2017 Jan 19,170.87,64.26,5500,7010
2017 Jan 20,170.76,64.87,5700,6860
2017 Jan 21,170.79,64.71,5700,6850
2017 Jan 22,170.71,64.54,5700,6850
2017 Jan 23,170.70,64.55,5500,6850
2017 Jan 24,170.61,64.85,5600,6890
2017 Jan 25,170.52,65.54,5400,6910
2017 Jan 26,170.44,65.74,5400,6930
2017 Jan 27,170.26,65.93,4700,7320
2017 Jan 28,170.05,65.90,4500,7340
2017 Jan 29,170.90,65.86,4500,7330
2017 Jan 30,170.67,65.84,4600,7350
2017 Jan 31,169.55,65.96,4500,7360
2017 Feb 01,169.33,65.86,4500,7380
2017 Feb 02,169.17,65.86,4500,7380
2017 Feb 03,169.02,65.90,4400,5640
2017 Feb 04,168.88,65.42,4400,6460
2017 Feb 05,168.65,65.29,4400,6460
2017 Feb 06,168.43,66.39,4400,7400
2017 Feb 07,168.33,66.43,5200,6490
2017 Feb 08,168.24,65.57,4800,6500
2017 Feb 09,168.14,64.96,5200,6520
2017 Feb 10,168.13,65.55,5400,6510
2017 Feb 11,168.12,65.37,5600,6490
2017 Feb 12,168.10,65.04,5800,6480
2017 Feb 13,168.04,64.51,5900,7020
2017 Feb 14,168.05,65.55,6100,7060
2017 Feb 15,167.97,64.58,6100,7090
2017 Feb 16,167.96,64.95,6000,7030
2017 Feb 17,167.82,64.58,5900,7010
2017 Feb 18,167.69,65.79,5800,7040
2017 Feb 19,167.66,64.88,5900,6710
2017 Feb 20,167.43,65.35,5700,7100
2017 Feb 21,167.43,65.73,5700,7130
2017 Feb 22,167.48,65.43,6000,7050
2017 Feb 23,167.51,64.04,6200,5700
2017 Feb 24,167.50,65.60,6500,7110
2017 Feb 25,167.53,65.40,6800,7340
2017 Feb 26,167.28,64.42,6200,7820
2017 Feb 27,167.84,64.84,6200,7820
2017 Feb 28,167.14,65.36,6200,7870
2017 Mar 01,166.96,65.66,6200,7890
2017 Mar 02,166.83,65.33,6200,7870
2017 Mar 03,166.75,65.07,6200,7860
2017 Mar 04,166.63,65.41,6200,7890
2017 Mar 05,166.53,65.48,6100,7910
2017 Mar 06,166.40,65.42,6100,7900
2017 Mar 07,166.27,65.43,6100,7910
2017 Mar 08,166.15,65.16,6300,7910
2017 Mar 09,166.05,64.38,6750,7860
2017 Mar 10,166.01,64.80,6600,7890
2017 Mar 11,165.93,64.91,6550,7910
2017 Mar 12,165.89,64.93,6900,7900
2017 Mar 13,165.87,65.08,7800,7920
2017 Mar 14,165.96,65.07,7800,7910
2017 Mar 15,166.07,64.90,7800,7900
2017 Mar 16,166.21,64.95,8000,7890
2017 Mar 17,166.32,65.21,8200,7900
2017 Mar 18,166.37,65.28,6300,8460
2017 Mar 19,166.39,65.30,6700,8460
2017 Mar 20,166.34,65.42,7800,8470
2017 Mar 21,165.16,65.61,6300,8980
2017 Mar 22,165.95,64.42,6400,8920
2017 Mar 23,165.70,64.77,6400,9010
2017 Mar 24,165.56,65.46,6400,9030
2017 Mar 25,165.33,65.55,6100,9050
2017 Mar 26,165.06,65.28,6100,9050
2017 Mar 27,164.84,65.42,6300,9090
2017 Mar 28,164.61,65.61,6600,9120
2017 Mar 29,164.34,65.59,6400,9700
2017 Mar 30,164.13,65.34,6800,9690
2017 Mar 31,163.84,65.86,6300,9770
2017 Apr 01,163.54,65.78,6300,9820
2017 Apr 02,163.32,65.84,6600,9840
2017 Apr 03,163.02,66.09,6300,9910
2017 Apr 04,162.76,65.50,6300,9880
2017 Apr 05,162.10,66.00,6300,9880
2017 Apr 06,162.07,65.39,6300,7960
2017 Apr 07,161.75,65.15,6300,7700
2017 Apr 08,161.74,65.71,8500,9500
2017 Apr 09,161.99,65.78,12000,9480
2017 Apr 10,162.22,65.74,10000,9470
2017 Apr 11,162.35,65.20,9100,9930
2017 Apr 12,162.15,64.29,9500,10900
2017 Apr 13,162.24,65.13,9500,8890
2017 Apr 14,,,,
2017 Apr 15,,,,
2017 Apr 16,,,,
2017 Apr 17,,,,
2017 Apr 18,,,,
2017 Apr 19,,,,
2017 Apr 20,,,,
2017 Apr 21,,,,
2017 Apr 22,,,,
2017 Apr 23,,,,
2017 Apr 24,,,,
2017 Apr 25,,,,
2017 Apr 26,,,,
2017 Apr 27,,,,
2017 Apr 28,,,,
2017 Apr 29,,,,
2017 Apr 30,,,,
2017 May 01,160.28,64.49,10500,12400
2017 May 02,160.03,64.30,9500,12400
2017 May 03,159.79,64.55,14000,13900
2017 May 04,159.76,64.67,13500,13900
2017 May 05,159.92,64.64,14000,13500
2017 May 06,159.83,64.76,13000,13200
2017 May 07,159.73,64.64,12500,14100
2017 May 08,159.43,64.51,11500,14900
2017 May 09,159.20,64.60,11500,16000
2017 May 10,158.55,64.57,10000,16200
2017 May 11,158.38,66.50,19500,19200
2017 May 12,158.11,66.31,13500,19100
2017 May 13,157.51,66.76,12800,19000
2017 May 14,156.98,65.11,12000,18000
2017 May 15,156.40,64.86,14000,13500
2017 May 16,155.72,65.06,13000,13200
2017 May 17,155.02,64.94,10000,17300
2017 May 18,154.29,64.51,10000,17700
2017 May 19,153.81,65.20,10000,15600
2017 May 20,153.68,65.20,10500,11200
2017 May 21,153.30,65.07,10600,13400
2017 May 22,152.86,65.29,13500,15100
2017 May 23,152.63,66.76,13000,15500
2017 May 24,150.88,65.43,12400,18700
2017 May 25,151.28,64.64,12100,18800
2017 May 26,152.14,64.92,12200,16600
2017 May 27,150.70,64.95,12200,15000
2017 May 28,150.30,64.31,11200,15200
2017 May 29,149.98,65.20,10800,14500
2017 May 30,149.52,65.38,9800,14500
2017 May 31,148.65,65.77,9900,16600
2017 Jun 01,148.00,64.90,9200,9200
2017 Jun 02,147.55,64.21,9000,13500
2017 Jun 03,147.14,65.27,9600,13900
2017 Jun 04,146.92,65.46,15000,14200
2017 Jun 05,147.57,64.49,16000,14500
2017 Jun 06,147.05,65.29,15000,18700
2017 Jun 07,146.61,65.06,15000,19500
2017 Jun 08,145.03,65.16,14800,19800
2017 Jun 09,145.26,65.40,16500,20300
2017 Jun 10,145.19,65.30,19000,20000
2017 Jun 11,145.60,65.56,16500,17700
2017 Jun 12,145.70,65.59,16500,17900
2017 Jun 13,145.52,65.29,16500,20800
2017 Jun 14,145.09,65.29,16000,20500
2017 Jun 15,145.63,64.98,19000,17800
2017 Jun 16,145.92,65.31,23000,19500
2017 Jun 17,145.85,67.65,23500,24700
2017 Jun 18,145.22,67.65,23000,24500
2017 Jun 19,145.96,67.84,20000,24600
2017 Jun 20,145.51,67.69,19500,24200
2017 Jun 21,145.88,65.30,17500,19600
2017 Jun 22,145.70,65.49,17300,19700
2017 Jun 23,145.33,65.90,17000,22600
2017 Jun 24,145.12,65.89,20000,20800
2017 Jun 25,145.22,67.25,21500,21200
2017 Jun 26,145.51,67.15,25500,22300
2017 Jun 27,145.51,68.01,26000,26700
2017 Jun 28,145.43,68.19,25000,27400
2017 Jun 29,145.17,67.87,24500,28000
2017 Jun 30,145.50,67.98,23800,26100
2017 Jul 01,145.93,66.43,26000,18400
2017 Jul 02,148.70,64.46,24300,9940
2017 Jul 03,150.93,64.01,18000,7670
2017 Jul 04,152.38,65.11,17500,8020
2017 Jul 05,153.62,64.84,17500,7890
2017 Jul 06,154.34,65.15,16500,13700
2017 Jul 07,155.42,65.67,32000,17200
2017 Jul 08,156.33,66.88,31000,22000
2017 Jul 09,156.91,68.16,28500,25700
2017 Jul 10,156.50,68.52,23500,28500
2017 Jul 11,155.62,68.50,22500,29000
2017 Jul 12,154.85,68.65,23000,29500
2017 Jul 13,154.09,68.41,22500,29000
2017 Jul 14,153.85,68.37,26000,27800
2017 Jul 15,,,,
2017 Jul 16,,,,
2017 Jul 17,,,,
2017 Jul 18,,,,
2017 Jul 19,,,,
2017 Jul 20,,,,
2017 Jul 21,,,,
2017 Jul 22,,,,
2017 Jul 23,,,,
2017 Jul 24,,,,
2017 Jul 25,,,,
2017 Jul 26,,,,
2017 Jul 27,,,,
2017 Jul 28,,,,
2017 Jul 29,,,,
2017 Jul 30,,,,
2017 Jul 31,,,,
2017 Aug 01,146.00,67.00,17500,19000
2017 Aug 02,145.91,66.03,15500,18000
2017 Aug 03,145.78,65.60,14800,17100
2017 Aug 04,145.57,65.54,14500,17100
2017 Aug 05,145.18,65.65,15500,15400
2017 Aug 06,146.16,65.32,16500,15200
2017 Aug 07,146.25,65.76,17000,17000
2017 Aug 08,146.18,67.30,21000,20300
2017 Aug 09,145.93,67.60,20500,20500
2017 Aug 10,146.42,67.30,24000,20200
2017 Aug 11,147.38,67.17,19500,19100
2017 Aug 12,147.46,66.89,18200,29500
2017 Aug 13,147.36,67.12,18200,19100
2017 Aug 14,147.14,67.66,17500,20100
2017 Aug 15,147.81,67.50,17000,21700
2017 Aug 16,146.39,67.60,17000,22000
2017 Aug 17,146.06,67.66,17500,22100
2017 Aug 18,146.18,67.30,21000,20300
2017 Aug 19,146.13,65.90,18200,19600
2017 Aug 20,146.32,65.11,18200,19300
2017 Aug 21,146.36,67.44,18300,21200
2017 Aug 22,146.41,67.15,18800,20800
2017 Aug 23,146.63,65.47,19000,20300
2017 Aug 24,146.89,66.68,19500,20500
2017 Aug 25,147.18,65.47,17000,21700
2017 Aug 26,147.26,67.43,17000,22000
2017 Aug 27,148.48,67.55,31000,22400
2017 Aug 28,149.54,68.08,27000,27100
2017 Aug 29,150.29,68.08,25000,25700
2017 Aug 30,150.04,68.30,27000,27800
2017 Aug 31,150.18,68.27,29000,27200
2017 Sep 01,150.27,68.22,22000,27100
2017 Sep 02,150.50,67.83,25500,24600
2017 Sep 03,151.02,67.80,22000,23000
2017 Sep 04,151.10,67.89,20500,24000
2017 Sep 05,151.28,67.61,18300,22200
2017 Sep 06,151.24,67.52,18000,22100
2017 Sep 07,151.52,65.49,21000,19400
2017 Sep 08,151.10,65.73,21000,19300
2017 Sep 09,152.91,65.45,25000,19300
2017 Sep 10,155.47,65.09,24000,18600
2017 Sep 11,157.51,64.98,19500,18800
2017 Sep 12,159.56,65.07,18200,19200
2017 Sep 13,160.78,65.19,18200,19500
2017 Sep 14,161.75,65.49,17500,19400
2017 Sep 15,162.40,65.29,20500,19200
2017 Sep 16,162.64,65.32,18000,22100
2017 Sep 17,162.69,65.19,17500,19100
2017 Sep 18,162.71,65.29,17800,19200
2017 Sep 19,162.74,64.97,18000,19100
2017 Sep 20,163.02,65.02,17500,15800
2017 Sep 21,163.16,65.28,16500,17700
2017 Sep 22,163.28,65.06,16600,17700
2017 Sep 23,163.54,64.87,17500,17600
2017 Sep 24,164.27,65.10,23000,17500
2017 Sep 25,164.71,65.02,19000,18000
2017 Sep 26,164.71,67.65,20500,22000
2017 Sep 27,165.57,68.08,34000,21900
2017 Sep 28,165.87,68.08,26500,25000
2017 Sep 29,166.14,68.14,27500,25000
2017 Sep 30,166.82,66.22,23000,14000
2017 Oct 01,167.19,65.78,20500,16700
2017 Oct 02,168.02,65.78,20000,14500
2017 Oct 03,168.74,65.31,22000,23000
2017 Oct 04,170.53,64.95,31000,17600
2017 Oct 05,171.71,67.82,33500,23600
2017 Oct 06,172.39,68.58,30000,28500
2017 Oct 07,172.33,68.50,25000,28500
2017 Oct 08,172.15,67.95,22000,24300
2017 Oct 09,172.01,67.72,19500,23500
2017 Oct 10,171.64,67.79,20000,23600
2017 Oct 11,171.68,67.83,25000,23600
2017 Oct 12,172.58,67.77,3000,23400
2017 Oct 13,172.99,67.83,26600,23300
2017 Oct 14,173.78,67.38,28000,22500
2017 Oct 15,174.08,67.90,23500,23100
2017 Oct 16,174.02,67.66,20000,23100
2017 Oct 17,173.76,67.56,20100,23100
2017 Oct 18,173.95,67.35,21500,20300
2017 Oct 19,174.51,66.85,21000,15800
2017 Oct 20,174.82,66.86,20000,15800
2017 Oct 21,174.71,67.64,19500,17400
2017 Oct 22,174.33,67.26,17500,22900
2017 Oct 23,173.95,67.43,19000,23000
2017 Oct 24,174.33,66.64,21000,17100
2017 Oct 25,174.48,67.15,19000,18500
2017 Oct 26,174.57,67.23,19000,20100
2017 Oct 27,174.40,67.45,17000,21400
2017 Oct 28,174.31,67.32,18000,19300
2017 Oct 29,174.10,66.87,16000,18900
2017 Oct 30,173.85,67.20,15000,19600
2017 Oct 31,173.64,67.07,14000,18300
2017 Nov 01,173.56,65.28,13200,16900
2017 Nov 02,173.90,64.37,13200,11500
2017 Nov 03,173.92,65.25,13200,13100
2017 Nov 04,173.93,65.06,12500,13000
2017 Nov 05,173.95,64.99,12500,13000
2017 Nov 06,173.94,64.52,12200,14300
2017 Nov 07,173.98,64.78,11000,12000
2017 Nov 08,174.07,64.24,11200,10400
2017 Nov 09,174.10,64.63,10600,10500
2017 Nov 10,174.07,64.95,9200,10500
2017 Nov 11,174.06,65.08,9200,9500
2017 Nov 12,174.02,64.85,8600,9530
2017 Nov 13,173.92,64.87,8300,10500
2017 Nov 14,173.88,65.15,8300,9290
2017 Nov 15,173.86,65.23,8500,8750
2017 Nov 16,173.92,65.27,8500,8740
2017 Nov 17,173.92,64.32,9600,8670
2017 Nov 18,174.22,64.12,9600,8640
2017 Nov 19,174.34,64.16,9000,8630
2017 Nov 20,174.46,64.25,8930,8690
2017 Nov 21,174.50,64.05,9200,9240
2017 Nov 22,174.53,63.99,10200,9240
2017 Nov 23,174.57,64.15,10500,10700
2017 Nov 24,174.63,64.35,10500,10700
2017 Nov 25,174.70,64.28,10500,10700
2017 Nov 26,174.61,64.25,9500,10700
2017 Nov 27,174.45,64.29,8600,10700
2017 Nov 28,174.37,64.05,8500,9680
2017 Nov 29,174.24,64.16,8000,9690
2017 Nov 30,174.03,64.09,6800,9710
2017 Dec 01,173.94,64.20,7000,8890
2017 Dec 02,173.83,64.24,7000,8910
2017 Dec 03,173.69,64.19,6500,8910
2017 Dec 04,173.44,64.16,6200,8930
2017 Dec 05,173.19,63.82,6000,8660
2017 Dec 06,173.04,63.85,5900,8630
2017 Dec 07,172.94,64.07,6500,8210
2017 Dec 08,172.92,64.31,7000,8160
2017 Dec 09,172.92,64.93,6800,6820
2017 Dec 10,172.94,65.17,6500,6850
2017 Dec 11,172.97,65.40,6500,6840
2017 Dec 12,172.96,65.33,6500,6830
2017 Dec 13,172.95,65.17,6500,6850
2017 Dec 14,172.94,65.11,6500,6830
2017 Dec 15,172.94,65.32,6500,6810
2017 Dec 16,172.96,65.42,6500,6840
2017 Dec 17,172.95,65.35,6600,6870
2017 Dec 18,172.96,65.60,6700,6870
2017 Dec 19,173.06,65.55,6900,6870
2017 Dec 20,173.11,65.52,7000,6870
2017 Dec 21,173.16,65.66,7500,6830
2017 Dec 22,173.32,65.48,7600,6830
2017 Dec 23,173.44,65.45,7600,6840
2017 Dec 24,173.57,65.47,7600,6840
2017 Dec 25,173.64,65.66,7600,6830
2017 Dec 26,173.77,65.58,7200,6840
2017 Dec 27,173.73,65.55,7000,7210
2017 Dec 28,173.72,65.60,6900,7750
2017 Dec 29,173.74,65.58,6700,7780
2017 Dec 30,173.73,65.58,6500,7780
2017 Dec 31,173.63,65.56,6600,7780
2018 Jan 01,173.61,65.64,6600,7790
2018 Jan 02,173.54,65.82,6300,7800
2018 Jan 03,173.74,65.74,6000,7090
2018 Jan 04,173.42,65.09,6000,7070
2018 Jan 05,173.26,65.70,6000,7030
2018 Jan 06,173.20,65.69,6000,8540
2018 Jan 07,173.10,65.71,6100,9250
2018 Jan 08,173.11,65.53,6200,8530
2018 Jan 09,173.03,65.30,6400,8520
2018 Jan 10,172.95,65.67,7000,9120
2018 Jan 11,172.89,65.50,7000,9070
2018 Jan 12,172.87,64.70,7200,8490
2018 Jan 13,172.90,64.82,7200,8480
2018 Jan 14,172.88,64.87,6900,8500
2018 Jan 15,172.79,64.70,6600,8480
2018 Jan 16,172.80,64.73,6400,7880
2018 Jan 17,172.70,64.98,6700,7810
2018 Jan 18,172.69,65.02,7000,7820
2018 Jan 19,172.74,65.02,7000,7820
2018 Jan 20,172.72,65.24,7000,7830
2018 Jan 21,172.76,65.24,7000,7830
2018 Jan 22,172.67,65.59,6600,9120
2018 Jan 23,172.43,64.90,6600,10700
2018 Jan 24,172.27,65.06,7200,11400
2018 Jan 25,172.32,63.64,7200,9130
2018 Jan 26,172.20,65.06,7400,10800
2018 Jan 27,172.29,64.37,7600,8180
2018 Jan 28,172.23,64.99,7800,9420
2018 Jan 29,172.05,65.25,7800,11900
2018 Jan 30,171.89,65.17,8200,12900
2018 Jan 31,171.77,64.89,8100,12600
2018 Feb 01,171.60,65.06,7900,12400
2018 Feb 02,171.41,64.91,7900,11700
